pour_demo_color:grasp success: 1, success 0, toal 1 steps
pour_demo_color:grasp success: 65, success 26, toal 67 steps
pour_demo_color:grasp success: 66, success 27, toal 68 steps
pour_demo_color:grasp success: 67, success 27, toal 69 steps
pour_demo_color:grasp success: 68, success 27, toal 70 steps
pour_demo_color:grasp success: 69, success 27, toal 71 steps
pour_demo_color:grasp success: 70, success 28, toal 72 steps
pour_demo_color:grasp success: 71, success 28, toal 73 steps
pour_demo_color:grasp success: 72, success 28, toal 74 steps
pour_demo_color:grasp success: 73, success 28, toal 75 steps
pour_demo_color:grasp success: 73, success 28, toal 76 steps
pour_demo_color:grasp success: 74, success 29, toal 77 steps
pour_demo_color:grasp success: 75, success 30, toal 78 steps
pour_demo_color:grasp success: 76, success 30, toal 79 steps
pour_demo_color:grasp success: 77, success 30, toal 80 steps
pour_demo_color:grasp success: 78, success 30, toal 81 steps
pour_demo_color:grasp success: 79, success 30, toal 82 steps
pour_demo_color:grasp success: 80, success 31, toal 83 steps
pour_demo_color:grasp success: 81, success 31, toal 84 steps
pour_demo_color:grasp success: 82, success 32, toal 85 steps
pour_demo_color:grasp success: 83, success 32, toal 86 steps
pour_demo_color:grasp success: 84, success 32, toal 87 steps
pour_demo_color:grasp success: 85, success 33, toal 88 steps
pour_demo_color:grasp success: 86, success 33, toal 89 steps
pour_demo_color:grasp success: 87, success 34, toal 90 steps
pour_demo_color:grasp success: 88, success 35, toal 91 steps
pour_demo_color:grasp success: 89, success 35, toal 92 steps
pour_demo_color:grasp success: 90, success 35, toal 93 steps
pour_demo_color:grasp success: 91, success 35, toal 94 steps
pour_demo_color:grasp success: 92, success 36, toal 95 steps
pour_demo_color:grasp success: 93, success 37, toal 96 steps
pour_demo_color:grasp success: 94, success 38, toal 97 steps
pour_demo_color:grasp success: 95, success 38, toal 98 steps
pour_demo_color:grasp success: 96, success 38, toal 99 steps
pour_demo_color:grasp success: 97, success 38, toal 100 steps
pour_demo_relative:grasp success: 1, success 0, toal 1 steps
pour_demo_relative:grasp success: 2, success 1, toal 2 steps
pour_demo_relative:grasp success: 3, success 1, toal 3 steps
pour_demo_relative:grasp success: 4, success 1, toal 4 steps
pour_demo_relative:grasp success: 5, success 2, toal 5 steps
pour_demo_relative:grasp success: 6, success 3, toal 6 steps
pour_demo_relative:grasp success: 7, success 3, toal 7 steps
pour_demo_relative:grasp success: 8, success 3, toal 8 steps
pour_demo_relative:grasp success: 9, success 4, toal 9 steps
pour_demo_relative:grasp success: 10, success 5, toal 10 steps
pour_demo_relative:grasp success: 11, success 5, toal 11 steps
